time,x,y,altitude,velocity,mach,mass,phase
0.1,0,0,0.0381014,0.762211,0.00223987,436325,BOOST
0.2,0,0,0.152479,1.52552,0.00448297,436050,BOOST
0.3,0,0,0.343242,2.28993,0.00672932,435775,BOOST
0.4,0,0,0.610502,3.05544,0.00897891,435500,BOOST
0.5,0,0,0.954367,3.82206,0.0112318,435225,BOOST
0.6,0,0,1.37495,4.58977,0.0134879,434950,BOOST
0.7,0,0,1.87236,5.35859,0.0157473,434675,BOOST
0.8,0,0,2.4467,6.12852,0.01801,434399,BOOST
0.9,0,0,3.0981,6.89955,0.0202759,434124,BOOST
1,0,0,3.82665,7.67169,0.0225452,433849,BOOST
1.1,0,0,4.63247,8.44494,0.0248178,433574,BOOST
1.2,0,0,5.51568,9.2193,0.0270937,433299,BOOST
1.3,0,0,6.47637,9.99477,0.029373,433024,BOOST
1.4,0,0,7.51467,10.7714,0.0316556,432749,BOOST
1.5,0,0,8.63068,11.5491,0.0339415,432474,BOOST
1.6,0,0,9.82452,12.3279,0.0362308,432199,BOOST
1.7,0,0,11.0963,13.1078,0.0385235,431924,BOOST
1.8,0,0,12.4461,13.8888,0.0408195,431649,BOOST
1.9,0,0,13.8741,14.671,0.043119,431374,BOOST
2,0,0,15.3804,15.4543,0.0454218,431099,BOOST
2.1,0,0,16.965,16.2387,0.0477281,430824,BOOST
2.2,0,0,18.6281,17.0242,0.0500378,430548,BOOST
2.3,0,0,20.3699,17.8108,0.0523508,430273,BOOST
2.4,0,0,22.1903,18.5986,0.0546674,429998,BOOST
2.5,0,0,24.0896,19.3875,0.0569874,429723,BOOST
2.6,0,0,26.0679,20.1775,0.0593108,429448,BOOST
2.7,0,0,28.1252,20.9687,0.0616377,429173,BOOST
2.8,0,0,30.2616,21.7609,0.0639681,428898,BOOST
2.9,0,0,32.4774,22.5543,0.066302,428623,BOOST
3,0,0,34.7725,23.3489,0.0686393,428348,BOOST
3.1,0,0,37.1472,24.1445,0.0709802,428073,BOOST
3.2,0,0,39.6015,24.9413,0.0733246,427798,BOOST
3.3,0,0,42.1355,25.7393,0.0756725,427523,BOOST
3.4,0,0,44.7494,26.5383,0.078024,427248,BOOST
3.5,0,0,47.4432,27.3385,0.080379,426973,BOOST
3.6,0,0,50.2171,28.1399,0.0827375,426697,BOOST
3.7,1.36046e-06,0,53.0712,28.9424,0.0850997,426422,BOOST
3.8,9.50965e-06,0,56.0056,29.746,0.0874654,426147,BOOST
3.9,3.09277e-05,0,59.0205,30.5507,0.0898347,425872,BOOST
4,7.22805e-05,0,62.1158,31.3566,0.0922076,425597,BOOST
4.1,0.000140421,0,65.2918,32.1637,0.0945841,425322,BOOST
4.2,0.000242388,0,68.5486,32.9719,0.0969642,425047,BOOST
4.3,0.000385409,0,71.8862,33.7812,0.0993479,424772,BOOST
4.4,0.0005769,0,75.3049,34.5917,0.101735,424497,BOOST
4.5,0.000824466,0,78.8046,35.4033,0.104126,424222,BOOST
4.6,0.0011359,0,82.3856,36.2161,0.106521,423947,BOOST
4.7,0.00151919,0,86.0479,37.03,0.108919,423672,BOOST
4.8,0.00198251,0,89.7916,37.845,0.111321,423397,BOOST
4.9,0.00253422,0,93.6169,38.6613,0.113727,423122,BOOST
5,0.00318288,0,97.5239,39.4786,0.116137,422846,BOOST
5.1,0.00393725,0,101.513,40.2972,0.11855,422571,BOOST
5.2,0.00480627,0,105.583,41.1169,0.120967,422296,BOOST
5.3,0.00579908,0,109.736,41.9377,0.123387,422021,BOOST
5.4,0.00692501,0,113.971,42.7597,0.125812,421746,BOOST
5.5,0.00819359,0,118.288,43.5829,0.12824,421471,BOOST
5.6,0.00961455,0,122.688,44.4072,0.130672,421196,BOOST
5.7,0.0111978,0,127.17,45.2327,0.133107,420921,BOOST
5.8,0.0129535,0,131.734,46.0593,0.135547,420646,BOOST
5.9,0.0148918,0,136.381,46.8871,0.13799,420371,BOOST
6,0.0170235,0,141.112,47.7161,0.140437,420096,BOOST
6.1,0.0193591,0,145.925,48.5462,0.142888,419821,BOOST
6.2,0.0219095,0,150.821,49.3775,0.145343,419546,BOOST
6.3,0.024686,0,155.8,50.21,0.147801,419271,BOOST
6.4,0.0276997,0,160.863,51.0436,0.150264,418996,BOOST
6.5,0.0309622,0,166.009,51.8784,0.15273,418720,BOOST
6.6,0.0344853,0,171.239,52.7144,0.1552,418445,BOOST
6.7,0.0382808,0,176.552,53.5516,0.157674,418170,BOOST
6.8,0.0423609,0,181.949,54.3899,0.160152,417895,BOOST
6.9,0.0467378,0,187.43,55.2294,0.162634,417620,BOOST
7,0.0514242,0,192.995,56.0701,0.16512,417345,BOOST
7.1,0.0564328,0,198.644,56.9119,0.167609,417070,BOOST
7.2,0.0617765,0,204.377,57.755,0.170103,416795,BOOST
7.3,0.0674685,0,210.195,58.5992,0.172601,416520,BOOST
7.4,0.0735221,0,216.097,59.4446,0.175102,416245,BOOST
7.5,0.0799508,0,222.084,60.2911,0.177608,415970,BOOST
7.6,0.0867686,0,228.155,61.1389,0.180118,415695,BOOST
7.7,0.0939893,0,234.312,61.9878,0.182631,415420,BOOST
7.8,0.101627,0,240.553,62.8379,0.185149,415145,BOOST
7.9,0.109697,0,246.879,63.6893,0.18767,414869,BOOST
8,0.118212,0,253.291,64.5418,0.190196,414594,BOOST
8.1,0.127189,0,259.788,65.3954,0.192726,414319,BOOST
8.2,0.136641,0,266.37,66.2503,0.195259,414044,BOOST
8.3,0.146585,0,273.038,67.1064,0.197797,413769,BOOST
8.4,0.157036,0,279.791,67.9636,0.200339,413494,BOOST
8.5,0.168009,0,286.631,68.8221,0.202885,413219,BOOST
8.6,0.179521,0,293.556,69.6817,0.205435,412944,BOOST
8.7,0.191587,0,300.567,70.5426,0.20799,412669,BOOST
8.8,0.204224,0,307.664,71.4046,0.210548,412394,MAX_Q
8.9,0.217448,0,314.848,72.2679,0.213111,412119,MAX_Q
9,0.231276,0,322.118,73.1323,0.215678,411844,MAX_Q
9.1,0.245726,0,329.474,73.9979,0.218248,411569,MAX_Q
9.2,0.260813,0,336.917,74.8648,0.220824,411294,MAX_Q
9.3,0.276557,0,344.447,75.7328,0.223403,411018,MAX_Q
9.4,0.292974,0,352.064,76.6021,0.225986,410743,MAX_Q
9.5,0.310082,0,359.768,77.4725,0.228574,410468,MAX_Q
9.6,0.3279,0,367.559,78.3442,0.231166,410193,MAX_Q
9.7,0.346445,0,375.437,79.217,0.233762,409918,MAX_Q
